LAYER_L;BLK_NAME;W_L;X1;Y1;X2;Y2;
0;;0;1.51367e+08;1.78186e+08;1.5163e+08;1.78186e+08;
0;;0;1.51224e+08;1.79467e+08;1.51287e+08;1.78262e+08;
0;;0;1.51019e+08;1.79556e+08;1.51119e+08;1.79562e+08;
0;;0;1.50993e+08;1.78147e+08;1.50925e+08;1.79451e+08;
0;;0;1.50993e+08;1.78147e+08;1.51054e+08;1.77959e+08;
0;;0;1.51054e+08;1.77959e+08;1.512e+08;1.77828e+08;
0;;0;1.512e+08;1.77828e+08;1.51372e+08;1.77786e+08;
0;;0;1.51287e+08;1.78262e+08;1.51367e+08;1.78186e+08;
0;;0;1.5179e+08;1.77786e+08;1.51372e+08;1.77786e+08;
0;;0;1.5159e+08;1.82411e+08;1.5159e+08;1.82461e+08;
0;;0;1.5159e+08;1.82611e+08;1.5179e+08;1.82611e+08;
0;;0;1.5159e+08;1.82461e+08;1.5159e+08;1.82611e+08;
0;;0;1.5159e+08;1.81611e+08;1.5159e+08;1.81661e+08;
0;;0;1.5179e+08;1.82261e+08;1.5159e+08;1.82261e+08;
0;;0;1.5159e+08;1.82261e+08;1.5159e+08;1.82411e+08;
0;;0;1.5159e+08;1.80811e+08;1.5159e+08;1.80861e+08;
0;;0;1.5179e+08;1.80661e+08;1.5159e+08;1.80661e+08;
0;;0;1.5159e+08;1.80661e+08;1.5159e+08;1.80811e+08;
0;;0;1.5159e+08;1.81011e+08;1.5179e+08;1.81011e+08;
0;;0;1.5159e+08;1.80861e+08;1.5159e+08;1.81011e+08;
0;;0;1.5159e+08;1.81811e+08;1.5179e+08;1.81811e+08;
0;;0;1.5159e+08;1.81661e+08;1.5159e+08;1.81811e+08;
0;;0;1.5179e+08;1.81461e+08;1.5159e+08;1.81461e+08;
0;;0;1.5159e+08;1.81461e+08;1.5159e+08;1.81611e+08;
0;;0;1.5069e+08;1.78186e+08;1.50991e+08;1.78186e+08;
0;;0;1.5069e+08;1.78186e+08;1.5069e+08;1.78736e+08;
0;;0;1.5069e+08;1.78736e+08;1.50962e+08;1.78736e+08;
0;;0;1.51262e+08;1.84536e+08;1.5163e+08;1.84536e+08;
0;;0;1.5069e+08;1.84536e+08;1.50962e+08;1.84536e+08;
0;;0;1.5069e+08;1.85086e+08;1.50991e+08;1.85086e+08;
0;;0;1.5069e+08;1.85086e+08;1.5069e+08;1.84536e+08;
0;;0;1.51262e+08;1.78736e+08;1.5163e+08;1.78736e+08;
0;;0;1.5039e+08;1.85086e+08;1.5039e+08;1.85486e+08;
0;;0;1.5069e+08;1.85486e+08;1.5069e+08;1.85086e+08;
0;;0;1.5069e+08;1.85086e+08;1.5039e+08;1.85086e+08;
0;;0;1.5069e+08;1.85486e+08;1.5039e+08;1.85486e+08;
0;;0;1.5069e+08;1.85486e+08;1.51372e+08;1.85486e+08;
0;;0;1.5039e+08;1.78186e+08;1.5039e+08;1.77786e+08;
0;;0;1.5069e+08;1.77786e+08;1.5069e+08;1.78186e+08;
0;;0;1.5069e+08;1.78186e+08;1.5039e+08;1.78186e+08;
0;;0;1.5069e+08;1.77786e+08;1.5039e+08;1.77786e+08;
0;;0;1.51372e+08;1.77786e+08;1.5069e+08;1.77786e+08;
0;;0;1.5189e+08;1.77786e+08;1.5189e+08;1.77586e+08;
0;;0;1.5039e+08;1.77786e+08;1.5039e+08;1.77586e+08;
0;;0;1.5439e+08;1.85486e+08;1.5439e+08;1.85686e+08;
0;;0;1.5639e+08;1.85486e+08;1.5639e+08;1.85686e+08;
0;;0;1.5439e+08;1.77586e+08;1.5439e+08;1.77786e+08;
0;;0;1.5639e+08;1.77586e+08;1.5639e+08;1.77786e+08;
